編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLQKKIJGFAO88CC,5,119.12,騎樓、店舖,鋼筋混凝土造,108年7月16日,五層,,
RPQNMLQKKIJGFAO88CC,5,46.88,共有部分,鋼筋混凝土造,108年7月16日,五層,,
RPRNMLRKKIJGFAO09CC,6,92.51,集合住宅,鋼筋混凝土造,108年4月25日,二十九層,,
RPRNMLRKKIJGFAO09CC,6,16.22,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,
RPRNMLRKKIJGFAO09CC,6,6.10,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,
RPRNMLRKKIJGFAO09CC,6,25.61,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,
RPPNMLTKKIJGFAO09CC,7,53.11,集合住宅,鋼筋混凝土造,107年5月23日,十五層,,
RPPNMLTKKIJGFAO09CC,7,9.97,共有部分,鋼筋混凝土造,107年5月23日,十五層,,
RPPNMLTKKIJGFAO09CC,7,4.62,共有部分,鋼筋混凝土造,107年5月23日,十五層,,
RPPNMLTKKIJGFAO09CC,7,10.41,共有部分,鋼筋混凝土造,107年5月23日,十五層,,
RPSNMLRKKIJGFAO56CC,4,52.91,集合住宅,鋼筋混凝土造,110年1月4日,二十四層,,
RPSNMLRKKIJGFAO56CC,4,28.18,共有部分,鋼筋混凝土造,110年1月4日,二十四層,,
RPTNMLTKKIJGFAO86CC,30,96.33,住家用,鋼筋混凝土造,83年9月29日,七層,,
RPTNMLTKKIJGFAO86CC,30,12.70,共有部分,鋼筋混凝土造,83年9月29日,七層,,
RPTNMLTKKIJGFAO86CC,30,21.44,共有部分,鋼筋混凝土造,83年9月29日,七層,,
RPUNMLTKKIJGFAO96CC,,87.90,住家用,加強磚造,,二層,,
RPSNMLTKKIJGFAO76CC,30,106.44,住家用,鋼筋混凝土造,83年11月2日,五層,,
RPSNMLTKKIJGFAO76CC,30,46.60,共有部分,鋼筋混凝土造,83年11月2日,五層,,
RPQNMLKLKIJGFAO38CC,12,136.29,集合住宅,鋼筋混凝土造,101年7月10日,二十層,,
RPQNMLKLKIJGFAO38CC,12,66.10,共有部分,鋼筋混凝土造,101年7月10日,二十五層,,
RPPNMLKLKIJGFAO28CC,12,136.97,集合住宅,鋼筋混凝土造,101年7月10日,二十層,,
RPPNMLKLKIJGFAO28CC,12,66.10,共有部分,鋼筋混凝土造,101年7月10日,二十五層,,
RPPNMLSKKIJGFAO98CC,,106.36,住家用,鋼筋混凝土造,,五層,,
RPPNMLSKKIJGFAO98CC,,3.30,共有部分,鋼筋混凝土造,,五層,,
RPPNMLSKKIJGFAO98CC,,6.75,共有部分,鋼筋混凝土造,,五層,,
RPSNMLKLKIJGFAO58CC,36,20.28,住家用,鋼筋混凝土造,78年1月7日,十二層,,
RPSNMLKLKIJGFAO58CC,36,5.62,共有部分,鋼筋混凝土造,78年1月1日,十二層,,
RPRNMLKLKIJGFAO48CC,36,23.13,住家用,鋼筋混凝土造,78年1月7日,十二層,,
RPRNMLKLKIJGFAO48CC,36,6.26,共有部分,鋼筋混凝土造,78年1月1日,十二層,,
RPTNMLKLKIJGFAO68CC,39,88.04,住家用,鋼筋混凝土造,75年4月24日,五層,,
RPTNMLKLKIJGFAO68CC,39,11.05,共有部分,鋼筋混凝土造,75年4月24日,五層,,
RPVNMLKLKIJGFAO88CC,27,24.48,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPVNMLKLKIJGFAO88CC,27,3.51,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPVNMLKLKIJGFAO88CC,27,.09,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPVNMLKLKIJGFAO88CC,27,7.17,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPUNMLKLKIJGFAO78CC,27,18.25,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPUNMLKLKIJGFAO78CC,27,3.34,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPUNMLKLKIJGFAO78CC,27,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPUNMLKLKIJGFAO78CC,27,6.80,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPWNMLKLKIJGFAO98CC,42,93.12,住家用,加強磚造,71年12月1日,二層,,
RPOOMLKLKIJGFAO28CC,,77.56,住家用,鋼筋混凝土造,,五層,,
RPOOMLKLKIJGFAO28CC,,3.60,共有部分,鋼筋混凝土造,,五層,,
RPXNMLKLKIJGFAO09CC,27,23.55,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPXNMLKLKIJGFAO09CC,27,3.47,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPPOMLKLKIJGFAO38CC,17,40.12,集合住宅,鋼筋混凝土造,97年1月31日,十五層,,
RPXNMLKLKIJGFAO09CC,27,.09,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPPOMLKLKIJGFAO38CC,17,48.55,梯間水箱機械室防空避難室兼停車空間及開放空間受電室,鋼筋混凝土造,97年1月31日,十五層,,
RPXNMLKLKIJGFAO09CC,27,6.99,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPRNMLNLKIJGFAO78CC,31,78.28,住家用,鋼筋混凝土造,83年1月31日,五層,,
RPRNMLNLKIJGFAO78CC,31,13.30,共有部分,鋼筋混凝土造,83年1月31日,五層,,
RPSNMLNLKIJGFAO88CC,,26.42,住家用,鋼筋混凝土造,,十二層,,
RPSNMLNLKIJGFAO88CC,,4.06,共有部分,鋼筋混凝土造,,十二層,,
RPSNMLNLKIJGFAO88CC,,6.19,共有部分,鋼筋混凝土造,,十二層,,
RPPNMLRKKIJGFAO88CC,30,20.40,住家用,鋼筋混凝土造,84年2月14日,五層,,
RPPNMLRKKIJGFAO88CC,30,3.81,共有部分,鋼筋混凝土造,84年2月14日,五層,,
RPTNMLNLKIJGFAO98CC,11,29.18,集合住宅,鋼筋混凝土造,102年12月20日,十一層,,
RPTNMLNLKIJGFAO98CC,11,11.27,共有部分,鋼筋混凝土造,102年12月20日,十一層,,
RPTNMLNLKIJGFAO98CC,11,4.36,共有部分,鋼筋混凝土造,102年12月20日,十一層,,
RPPNMLNLKIJGFAO58CC,6,95.27,集合住宅,鋼筋混凝土造,108年4月25日,二十九層,,
RPPNMLNLKIJGFAO58CC,6,16.79,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,
RPPNMLNLKIJGFAO58CC,6,6.10,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,
RPPNMLNLKIJGFAO58CC,6,25.83,共有部分,鋼筋混凝土造,108年4月25日,二十九層,,
RPUNMLNLKIJGFAO09CC,18,21.80,集合住宅,鋼筋混凝土造,95年6月14日,五層,,
RPUNMLNLKIJGFAO09CC,18,8.87,樓梯間等共同使用部份,鋼筋混凝土造,95年6月14日,五層,,
RPPNMLOLKIJGFAO68CC,33,101.06,住家用,鋼筋混凝土造,80年7月1日,七層,,
RPPNMLOLKIJGFAO68CC,33,25.42,共有部分,鋼筋混凝土造,80年7月1日,七層,,
RPPNMLOLKIJGFAO68CC,33,8.83,共有部分,鋼筋混凝土造,80年7月1日,七層,,
RPQNMLNLKIJGFAO68CC,11,56.99,集合住宅,鋼筋混凝土造,102年12月20日,十一層,,
RPQNMLNLKIJGFAO68CC,11,21.67,共有部分,鋼筋混凝土造,102年12月20日,十一層,,
RPQNMLNLKIJGFAO68CC,11,8.46,共有部分,鋼筋混凝土造,102年12月20日,十一層,,
RPQOMLKLKIJGFAO48CC,31,87.61,住家用,鋼筋混凝土造,83年3月1日,七層,,
RPQOMLKLKIJGFAO48CC,31,11.61,共有部分,鋼筋混凝土造,83年3月1日,七層,,
RPQOMLKLKIJGFAO48CC,31,4.18,,鋼筋混凝土造,83年3月1日,七層,,
RPOOMLTKKIJGFAO09CC,28,21.01,商業用,鋼筋混凝土造,85年11月5日,十一層,,
RPOOMLTKKIJGFAO09CC,28,8.84,避難室兼停車空間商場,鋼筋混凝土造,85年11月5日,十一層,,
RPQNMLPLKIJGFAO88CC,26,97.70,住家用,鋼筋混凝土造,87年7月26日,七層,,
