編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLNLKIJGFCH18CC,28,6.55,共有部份,鋼筋混凝土造,86年1月30日,十二層,,
RPPOMLNLKIJGFCH18CC,28,1.31,共有部份,鋼筋混凝土造,86年1月30日,十四層,,
RPPOMLNLKIJGFCH18CC,28,37.18,共有部份,鋼筋混凝土造,86年1月30日,十四層,,
RPPOMLNLKIJGFCH18CC,28,.05,共有部份,鋼筋混凝土造,86年1月30日,一層,,
RPROMLNLKIJGFCH38CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPSOMLNLKIJGFCH48CC,30,114.73,住家用,鋼筋混凝土造,84年5月6日,七層,,
RPSOMLNLKIJGFCH48CC,30,14.57,樓梯間、機械房、水箱,鋼筋混凝土造,84年5月6日,七層,,
RPSOMLNLKIJGFCH48CC,30,65.85,防空避難室兼停車場、自用儲藏室,鋼筋混凝土造,84年5月6日,七層,,
RPUOMLNLKIJGFCH68CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPTOMLNLKIJGFCH58CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPXOMLNLKIJGFCH98CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPVOMLNLKIJGFCH78CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPWOMLNLKIJGFCH88CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPPPMLNLKIJGFCH28CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPQPMLNLKIJGFCH38CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPRPMLNLKIJGFCH48CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPSPMLNLKIJGFCH58CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPOPMLNLKIJGFCH18CC,30,73.77,住家用,鋼筋混凝土造,83年9月12日,十二層,,
RPOPMLNLKIJGFCH18CC,30,19.22,共有部份,鋼筋混凝土造,83年9月12日,十二層,,
RPOPMLNLKIJGFCH18CC,30,10.96,共有部份,鋼筋混凝土造,83年9月12日,十二層,,
RPUPMLNLKIJGFCH78CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPVPMLNLKIJGFCH88CC,26,24.00,防空避難室，水箱，住宅，機械室,鋼筋混凝土造,88年5月12日,十層,,
RPXPMLNLKIJGFCH09CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPWPMLNLKIJGFCH98CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPOQMLNLKIJGFCH28CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPQNMLNLKIJGFDH28CC,22,84.20,住家用,鋼筋混凝土造,92年1月6日,九層,,
RPQNMLNLKIJGFDH28CC,22,9.17,梯間、機械室、水箱,鋼筋混凝土造,92年1月6日,九層,,
RPQNMLNLKIJGFDH28CC,22,15.26,防空避難室、停車空間、台電受電室,鋼筋混凝土造,92年1月6日,九層,,
RPPNMLNLKIJGFDH18CC,30,25.98,住家用,鋼筋混凝土造,84年3月24日,十五層,,
RPPNMLNLKIJGFDH18CC,30,10.27,共有部份,鋼筋混凝土造,84年3月24日,十五層,,
RPPNMLNLKIJGFDH18CC,30,5.54,共有部份,鋼筋混凝土造,84年3月24日,十五層,,
RPSNMLNLKIJGFDH48CC,42,116.38,住家用,加強磚造,71年12月18日,二層,,
RPRNMLNLKIJGFDH38CC,18,87.83,住家用,鋼筋混凝土造,96年3月30日,十層,,
RPRNMLNLKIJGFDH38CC,18,41.11,防空避難室兼停車空間、守衛室、電梯機房、公共服務空間、機電設備空間、樓梯、電梯間、水箱,鋼筋混凝土造,96年3月30日,十層,,
RPRNMLNLKIJGFDH38CC,18,19.47,機電設備空間、梯間、電梯間、電梯機房、水箱,鋼筋混凝土造,96年3月30日,十層,,
