鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安定區,土地,新吉段631-2地號,363.64,,一般農業區,農牧用地,1110713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,33000,91,,0.0,0,1.承租土地約110坪，承租未保存登記建物約80坪。2.本租賃合約之租金，自民國114年10月1日起至民國116年9月30日止，調整為月租金新台幣34000元整。,RPWOMLLLPHHGFHD98CC
仁德區,建物,臺南市仁德區上崙里德崙路７７巷８６號二樓之４,0.0,住,,,1110718,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830625,64.96000000000001,2,1,2,有,無,有,13800,212,,0.0,0,台南市社會住宅包租代管第3期計畫公會版，租金已打8折,RPTNMLMLPHHGFID78CC
永康區,建物,臺南市永康區中華二路２６６巷１８號６樓之２,0.0,住,,,1110719,土地0建物1車位0,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860128,126.5,3,1,2,有,有,有,15000,119,,0.0,0,,RPWNMLMLPHHGFKD66CC
永康區,建物,臺南市永康區永康里永大一路６２號九樓之９,0.0,商,,,1110715,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820820,132.31,3,1,2,有,有,有,16000,121,,0.0,0,,RPXNMLMLPHHGFKD76CC
永康區,建物,臺南市永康區國華街１０２巷１０６號,0.0,住,,,1110717,土地0建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0831006,99.4,2,1,1,有,有,有,15000,151,,0.0,0,,RPQOMLMLPHHGFKD78CC
永康區,建物,臺南市永康區大橋里中華路６６１巷８號,0.0,住,,,1110719,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0761019,143.16,6,1,3,有,無,無,33000,231,,0.0,0,,RPROMLMLPHHGFKD88CC
永康區,建物,臺南市永康區東橋七路２０１號十五樓之３,0.0,住,,,1110709,土地0建物1車位1,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1061114,148.12,3,2,2,有,有,有,29000,196,坡道平面,22.39,0,,RPUOMLMLPHHGFKD56CC
永康區,建物,臺南市永康區網寮里永吉路１３７號,0.0,商,,,1110711,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0841030,261.79,6,2,4,有,無,有,25000,95,,0.0,0,,RPPPMLMLPHHGFKD78CC
安南區,建物,臺南市安南區海佃路三段２２６號,0.0,住,,,1110718,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0911209,82.66,2,0,1,有,無,有,8000,97,,0.0,0,,RPTOMLMLPHHGFBD18CC
新營區,房地(土地+建物),臺南市新營區民權路３號,64.71,商,,,1110625,土地1建物1車位0,全,2,透天厝,住商用,鋼造,0781221,104.26,1,2,1,有,無,有,19000,182,,0.0,0,房屋現況交付租客使用，屋主不負責後續修繕責任。也不負責清潔整修。,RPVNMLMLPHHGFDD48CC
柳營區,房地(土地+建物),臺南市柳營區育英街１０５巷６６號,93.41,住,,,1110710,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830722,188.17,4,3,3,有,無,有,12000,64,,0.0,0,,RPXNMLMLPHHGFDD68CC
新營區,建物,臺南市新營區建業路７８巷６號,0.0,住,,,1110714,土地0建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830203,125.82,2,2,2,有,有,有,14000,111,,0.0,0,,RPOOMLMLPHHGFDD87CC
新營區,建物,臺南市新營區和平路１０４巷４５號,0.0,住,,,1110623,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,160.39,3,2,2,有,無,有,10000,62,,0.0,0,,RPPOMLMLPHHGFDD97CC
東區,建物,臺南市東區長榮路二段７１巷３之４號５樓,0.0,住,,,1110720,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691106,100.53,3,2,2,有,無,無,11000,109,,0.0,0,,RPPNMLMLPHHGFCD77CC
東區,建物,臺南市東區東寧路３４號,0.0,住,,,1110704,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700930,113.31,3,2,2,有,有,無,16000,141,,0.0,0,,RPROMLMLPHHGFCD08CC
東區,房地(土地+建物),臺南市東區長榮路一段２５６號１２樓之２,6.46,商,,,1110714,土地2建物1車位0,十二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0821216,78.0,0,0,0,無,無,無,12000,154,,0.0,0,,RPTOMLMLPHHGFCD28CC
北區,建物,臺南市北區文成二路１５９號九樓之１,0.0,住,,,1110709,土地0建物1車位2,九層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1001027,260.27,4,2,2,有,有,有,38000,146,坡道平面,63.72,0,,RPOOMLMLPHHGFAD57CC
北區,建物,臺南市北區海安路三段８１０號五樓之１,0.0,住,,,1110709,土地0建物1車位1,五層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1090131,164.67000000000002,2,2,2,有,有,有,33000,200,坡道平面,33.38,0,,RPPOMLMLPHHGFAD67CC
北區,建物,臺南市北區開元路５０７號二十三樓之１,0.0,商,,,1110626,土地0建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1041105,172.36,3,2,2,有,有,有,22000,128,坡道平面,45.21,0,,RPSOMLMLPHHGFAD97CC
安平區,建物,臺南市安平區建平七街８２１號,0.0,住,,,1110715,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住宅、停車空間,鋼筋混凝土構造,1050902,76.91,1,0,1,有,無,無,30948,402,,0.0,0,,RPUOMLMLPHHGFAD18CC
北區,房地(土地+建物)+車位,臺南市北區北成路４０１號１３樓之１１,13.37,住,,,1110722,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0990406,102.68,2,2,1,有,有,有,25000,243,坡道平面,31.99,0,,RPVOMLMLPHHGFAD28CC
安平區,建物,臺南市安平區永華路二段３９１號二十一樓之５,0.0,住,,,1110722,土地0建物1車位1,二十一層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1101213,96.35,2,1,2,有,有,有,32000,332,坡道機械,24.5,0,,RPOPMLMLPHHGFAD67CC
北區,建物,臺南市北區開元路４８５巷２１號５樓之１０,0.0,商,,,1110719,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0880401,109.24,3,2,2,有,有,有,16500,151,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLNLPHHGFAD67CC
安平區,建物,臺南市安平區郡平路１８８號８樓之２５,0.0,住,,,1110714,土地0建物1車位0,八層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850907,173.1,4,2,2,有,有,有,18000,104,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPQNMLNLPHHGFAD77CC
中西區,建物,臺南市中西區西門路一段４６６號六樓之４,0.0,住,,,1110718,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700605,22.59,1,1,1,有,有,有,4500,199,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPRNMLNLPHHGFAD87CC
南區,建物,臺南市南區大成路二段８１巷３３弄４號,0.0,住,,,1110720,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0740824,115.27,4,2,3,有,無,有,23000,200,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPPNMLNLPHHGFCD87CC
東區,建物,臺南市東區崇明路２７０號１４樓之１,0.0,住,,,1110720,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830825,109.77,2,2,1,有,有,有,14000,128,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPQNMLNLPHHGFCD97CC
東區,建物,臺南市東區裕農路２８８巷１１０弄２４號,0.0,住,,,1110720,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0710319,159.16,3,2,3,有,無,有,15000,94,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPRNMLNLPHHGFCD08CC
安南區,建物,臺南市安南區安和路五段１７１巷４７弄３３之５號,0.0,住,,,1110720,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830114,136.15,4,2,3,有,無,有,16500,121,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPOQMLNLPHHGFBD97CC
永康區,建物,臺南市永康區忠孝路２３９巷２８弄９號,0.0,住,,,1110720,土地0建物1車位0,見其他登記事項,1,其他,住家用,加強磚造,0621201,62.38,3,2,1,有,無,有,6000,96,,0.0,0,,RPPNMLNLPHHGFKD68CC
永康區,建物,臺南市永康區永華路２３３巷３０號４樓之１,0.0,住,,,1110718,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811130,56.05,1,1,1,有,有,有,11000,196,,0.0,0,,RPQNMLNLPHHGFKD78CC
永康區,建物,臺南市永康區大橋二街１７２號六樓,0.0,住,,,1110720,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820421,147.39,3,2,2,有,有,有,17500,119,,0.0,0,,RPRNMLNLPHHGFKD88CC
歸仁區,建物,臺南市歸仁區文化北街７４號,0.0,住,,,1110720,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0680423,99.6,4,2,2,有,無,有,15000,151,,0.0,0,參加公會版社會住宅包租代管計畫，租金為市價9折,RPRNMLNLPHHGFID68CC
