鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
左營區,房地(土地+建物),高雄市左營區立文路９６號１４樓之２,6.24,商,,,1110708,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,84.06,2,1,1,有,有,有,20000,238,,0.0,0,,RPSRMLPLPHHGFEE09CC
楠梓區,建物,高雄市楠梓區大學東路２０２號,0.0,商,,,1110627,土地0建物1車位0,見其他登記事項,2,店面(店鋪),飲食店,鋼骨造,1070122,506.28,0,0,0,無,無,無,100000,198,,0.0,0,租賃面積含第一層及第二層樓梯間,RPVRMLPLPHHGFEE76CC
楠梓區,建物,高雄市楠梓區高楠公路９２０巷２５０弄３１號,0.0,農,,,1110717,土地0建物1車位0,全,3,透天厝,集合住宅,鋼筋混凝土,1100427,161.35,3,2,4,有,無,有,26000,161,,0.0,0,此為住宅及都市更新中心社會住宅包租代管計畫之物件，評定市價租金為28889元，選擇代管方案需打9折，實際租賃契約金額為26000元。水電費、瓦斯費由承租人負擔。,RPWRMLPLPHHGFEE86CC
左營區,房地(土地+建物),高雄市左營區城峰路２０號７樓之５,17.06,住,,,1110713,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,142.56,4,2,2,有,有,有,22000,154,,0.0,0,,RPXRMLPLPHHGFEE96CC
左營區,房地(土地+建物)+車位,高雄市左營區重立路５０５號６樓之７,13.61,住,,,1110718,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1061011,119.35,2,2,1,有,有,有,23000,193,坡道平面,27.65,0,,RPPSMLPLPHHGFEE88CC
三民區,建物,高雄市三民區正興路３７號八樓之２,0.0,商,,,1110704,土地0建物1車位1,八層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880304,174.94,3,2,2,有,有,有,23000,131,坡道平面,32.22,0,租金含管理費。,RPQNMLPLPHHGFDE38CC
三民區,房地(土地+建物)+車位,高雄市三民區德興街２１號５樓,13.09,住,,,1110710,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100630,83.52000000000001,0,0,0,無,有,有,20000,239,坡道機械,6.6,0,,RPTNMLPLPHHGFDE68CC
三民區,建物,高雄市三民區山東街７１號,0.0,住,,,1110718,土地0建物1車位0,全,2,透天厝,,加強磚造,0560308,94.18,2,1,2,有,無,有,9000,96,,0.0,0,,RPXNMLPLPHHGFDE09CC
三民區,房地(土地+建物),高雄市三民區自立一路１０４號,71.0,商,,,1110718,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0600823,241.4,3,2,4,有,無,無,26000,108,,0.0,0,,RPOOMLPLPHHGFDE28CC
三民區,建物,高雄市三民區鼎貴路２９號之２０二樓,0.0,住,,,1110701,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950322,28.27,1,0,1,有,有,有,7500,265,,0.0,0,含機車車位1個。,RPPOMLPLPHHGFDE38CC
